plot_size_sqft,building_size_sqft,num_floors,budget_amount,budget_per_sqft,plot_shape_code,topography_code,num_bedrooms,num_bathrooms,total_rooms,design_style_code,customization_level,design_complexity_score,development_constraint_level,kerala_district_code,construction_start_month,monsoon_exposure_score,district_risk_tier,terrain_code,rainfall_code,flood_risk_code,effective_monsoon_score,cost_overrun_risk
1460,1694,3,943558,557,3,0,2,3,7,0,2,10,2,10,8,0.5111,0,4,2,0,0.5111,2
2991,1915,2,4785585,2499,3,3,1,4,7,0,1,9,1,0,1,0.1667,0,1,1,0,0.1167,1
3347,1375,3,9708875,7061,3,2,1,3,6,3,4,16,2,8,5,0.7556,0,0,0,0,0.3022,2
841,2441,1,5885251,2411,1,0,4,4,10,1,3,8,2,7,11,0.0889,0,0,2,0,0.0889,0
3673,1421,2,3531185,2485,3,1,2,2,6,0,3,11,1,5,12,0.0,2,4,3,0,0.0,2
4398,1675,1,1028450,614,1,3,5,2,9,0,4,13,3,4,3,0.5,1,4,2,0,0.5,2
4484,464,1,245920,530,2,0,1,4,7,3,2,6,2,8,9,0.3444,0,4,1,0,0.2411,1
3699,2582,1,4162184,1612,3,3,1,4,7,1,5,15,3,8,8,0.5111,0,0,0,0,0.2044,1
3290,1428,2,2884560,2020,2,2,3,1,6,1,1,8,1,6,3,0.5,0,1,2,0,0.5,1
4791,2323,5,17664092,7604,2,2,3,1,6,0,3,18,0,0,3,0.5,0,2,1,1,0.35,2
2197,3460,4,22171680,6408,3,3,4,2,8,3,5,18,2,4,2,0.3333,1,4,2,0,0.3333,2
1906,3080,4,2815120,914,0,0,6,4,12,2,2,12,0,6,9,0.3444,0,0,2,1,0.3444,1
4045,2031,1,4273224,2104,3,0,1,2,5,1,3,8,3,3,6,0.8444,1,3,2,2,0.8444,2
1298,2560,2,16483840,6439,1,3,5,4,11,1,0,7,0,2,2,0.3333,1,4,2,0,0.3333,1
4110,602,3,473172,786,0,2,5,4,11,1,1,10,1,5,11,0.0889,2,4,3,0,0.1156,2
3997,2911,5,2116297,727,2,3,3,4,9,3,2,17,1,6,3,0.5,0,3,2,2,0.5,2
2985,3319,1,6239720,1880,2,3,1,2,5,0,5,15,1,3,8,0.5111,1,0,2,1,0.5111,2
2649,3344,4,27390704,8191,0,0,3,3,8,3,0,8,0,4,9,0.3444,1,3,2,2,0.3444,2
2296,1027,3,506311,493,0,3,6,4,12,3,3,15,1,0,2,0.3333,0,4,2,0,0.3333,2
3469,3634,5,11407126,3139,0,3,4,1,7,0,5,18,0,1,4,0.6667,0,1,2,0,0.6667,2
3704,3135,4,7210500,2300,2,2,6,2,10,1,5,18,1,13,6,0.8444,0,1,2,0,0.8444,2
1559,1904,5,16077376,8444,3,0,3,4,9,3,2,14,3,7,2,0.3333,0,4,3,0,0.4333,2
3165,2546,4,4906142,1927,0,0,5,1,8,3,5,18,0,7,12,0.0,0,0,2,0,0.0,1
1784,3727,3,15601222,4186,3,1,2,3,7,0,5,17,1,12,1,0.1667,0,2,2,1,0.1667,1
3609,554,2,1894680,3420,1,1,1,1,4,0,2,9,1,4,3,0.5,1,3,2,2,0.5,2
3055,924,4,5697384,6166,1,2,4,1,7,0,3,16,0,0,5,0.7556,0,2,1,1,0.5289,2
3374,2382,3,4768764,2002,0,1,6,1,9,2,5,17,1,10,3,0.5,0,2,2,1,0.5,2
3091,3060,1,5575320,1822,3,0,4,4,10,3,4,10,2,0,1,0.1667,0,1,1,0,0.1167,1
4964,769,4,327594,426,1,1,1,4,7,2,2,13,3,9,3,0.5,0,0,2,1,0.5,2
2531,1412,1,8052636,5703,1,1,2,4,8,0,5,13,1,8,9,0.3444,0,0,0,0,0.1378,1
2070,980,5,385140,393,2,2,2,4,8,3,2,16,0,1,4,0.6667,0,2,2,1,0.6667,2
3659,852,4,6961692,8171,3,1,5,3,10,1,3,15,0,6,8,0.5111,0,0,2,1,0.5111,2
3449,3651,2,1675809,459,1,2,1,4,7,1,4,14,0,1,1,0.1667,0,1,2,0,0.1667,2
4146,1251,4,4461066,3566,1,2,1,1,4,3,4,18,2,10,8,0.5111,0,4,2,0,0.5111,2
4980,2844,4,8295948,2917,2,1,5,3,10,1,1,11,2,4,8,0.5111,1,4,2,0,0.5111,2
714,1016,4,803656,791,1,0,5,3,10,1,4,16,3,9,10,0.1778,0,0,2,1,0.1778,2
3386,1522,4,1327184,872,1,0,6,4,12,2,4,16,3,6,10,0.1778,0,1,2,0,0.1778,2
4552,2509,4,4307953,1717,3,0,5,3,10,1,2,12,0,0,12,0.0,0,4,2,0,0.0,1
3382,3855,4,13731510,3562,2,1,5,1,8,2,2,13,3,4,9,0.3444,1,3,2,2,0.3444,2
2756,1465,2,5058645,3453,2,1,2,1,5,2,2,9,2,6,9,0.3444,0,4,2,0,0.3444,1
3139,3360,5,1461600,435,1,2,5,4,11,1,1,14,0,10,9,0.3444,0,2,2,1,0.3444,2
1988,2256,4,2459040,1090,0,2,1,1,4,2,3,16,3,5,1,0.1667,2,4,3,0,0.2167,2
1313,2281,3,10168698,4458,2,1,5,1,8,2,1,9,3,7,10,0.1778,0,1,2,0,0.1778,1
3672,2834,5,20461480,7220,3,1,4,1,7,0,0,11,3,6,5,0.7556,0,1,2,0,0.7556,2
2452,1214,5,4915486,4049,3,1,3,4,9,0,4,18,3,7,12,0.0,0,2,2,1,0.0,2
4086,3984,5,14067504,3531,1,1,1,3,6,2,3,17,1,12,12,0.0,0,0,2,0,0.0,1
1745,1771,4,885500,500,1,3,4,2,8,1,3,17,3,4,3,0.5,1,4,2,0,0.5,2
3108,3179,5,26427027,8313,0,1,5,2,9,2,1,13,2,9,8,0.5111,0,2,2,1,0.5111,2
1615,2224,1,9191792,4133,1,3,1,3,6,2,4,13,1,5,12,0.0,2,4,3,0,0.0,2
2752,3570,1,11470410,3213,0,3,6,4,12,2,0,5,0,13,12,0.0,0,0,2,0,0.0,0
4778,1568,5,617792,394,1,0,1,3,6,1,4,18,0,2,11,0.0889,1,5,3,0,0.1156,2
2174,2601,2,12869748,4948,1,1,3,3,8,1,1,7,3,10,12,0.0,0,2,2,1,0.0,1
3414,3774,5,7012092,1858,0,1,3,3,8,1,5,18,3,0,4,0.6667,0,1,1,0,0.4667,2
3082,846,2,662418,783,3,0,1,4,7,1,3,10,1,7,11,0.0889,0,4,3,0,0.1156,1
4072,1753,1,1945830,1110,3,3,5,2,9,3,5,15,0,4,3,0.5,1,5,3,0,0.65,2
