plot_size_sqft,building_size_sqft,num_floors,planned_duration_months,plot_shape_code,topography_code,design_complexity_score,customization_level,site_difficulty_score,kerala_district_code,construction_start_month,monsoon_exposure_score,district_risk_tier,terrain_code,rainfall_code,flood_risk_code,effective_monsoon_score,time_delay_risk
1824,1587,5,26,3,0,18,4,3,4,6,0.8444,1,1,2,0,0.8444,2
2505,3610,3,15,2,1,15,4,4,6,1,0.1667,0,1,2,0,0.1667,1
3183,2672,4,20,3,3,13,1,8,5,2,0.3333,2,5,3,0,0.4333,2
3707,2913,4,18,1,0,8,0,2,10,12,0.0,0,0,2,0,0.0,1
2966,617,2,28,3,2,16,5,6,6,3,0.5,0,0,2,1,0.5,1
4940,2623,3,11,1,2,12,2,6,1,9,0.3444,0,3,2,2,0.3444,2
2805,660,5,28,1,3,18,3,9,0,11,0.0889,0,2,1,1,0.0622,1
2579,2352,5,33,2,2,18,4,4,6,5,0.7556,0,0,2,1,0.7556,2
931,3916,5,13,1,3,18,4,8,7,3,0.5,0,4,3,0,0.65,2
2698,2556,5,17,3,2,14,1,6,9,3,0.5,0,2,2,1,0.5,2
2878,1874,4,6,1,0,8,0,0,0,6,0.8444,0,1,1,0,0.5911,2
3200,2125,5,18,1,3,18,4,6,6,1,0.1667,0,1,2,0,0.1667,1
2960,2533,3,9,0,2,12,2,5,0,12,0.0,0,1,1,0,0.0,1
3296,1681,3,26,1,3,17,4,8,10,7,0.6778,0,1,2,0,0.6778,2
915,2850,3,13,3,2,18,5,4,11,1,0.1667,2,4,3,0,0.2167,2
3507,3543,2,23,2,2,12,3,6,6,4,0.6667,0,0,2,1,0.6667,2
3443,3286,3,19,1,3,18,5,9,2,11,0.0889,1,1,2,1,0.0889,2
2689,1849,1,16,3,3,15,5,8,10,4,0.6667,0,2,2,1,0.6667,2
3594,3262,2,19,0,1,13,4,4,8,3,0.5,0,1,1,0,0.35,2
4248,3030,4,17,2,2,12,1,6,11,5,0.7556,2,5,3,0,0.9823,2
1174,1501,3,31,2,2,16,4,7,6,7,0.6778,0,1,2,0,0.6778,2
4997,2094,3,20,0,2,16,4,7,13,8,0.5111,0,0,2,0,0.5111,2
4057,3861,5,24,2,2,18,4,5,7,7,0.6778,0,1,2,0,0.6778,2
2756,2823,3,11,0,3,13,2,6,4,6,0.8444,1,1,2,0,0.8444,2
2972,2604,2,34,3,2,6,0,4,10,8,0.5111,0,2,2,1,0.5111,2
693,3166,2,27,3,3,11,2,9,5,8,0.5111,2,5,3,0,0.6644,2
2120,2053,2,6,2,3,11,2,7,0,4,0.6667,0,1,1,0,0.4667,2
2157,1264,5,30,1,2,12,0,6,8,1,0.1667,0,0,0,0,0.0667,1
1160,3685,5,6,1,1,11,0,4,10,4,0.6667,0,2,2,1,0.6667,2
1254,1531,1,17,3,2,8,2,5,7,3,0.5,0,0,2,0,0.5,1
3136,1481,2,12,1,3,11,2,7,0,5,0.7556,0,1,1,0,0.5289,2
